objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class
1237655499736023309,198.75865,-1.6611332,19.28792,17.3645,16.65784,16.41547,16.26836,5.688526e-05,1.881269,0.7605629,0.2010727,0.2063293,STAR
1237655495977468550,198.69212,-1.5510509,23.98161,21.48122,20.69408,19.68314,19.05251,-2.797599e-05,2.914644,0.8251915,0.9629555,0.646452,STAR
1237655495977533617,198.86527,-1.5211695,18.74677,17.72853,17.71136,17.7129,17.87158,0.000350919,1.020382,0.02429771,-0.01305771,-0.1486053,STAR
1237655495977533557,198.79422,-1.4771194,19.93713,18.8016,18.82963,18.94912,19.04007,0.000199207,1.160055,-0.03202629,-0.1199932,-0.06944084,STAR
1237655495977533571,198.8073,-1.448024,19.1537,19.34383,19.69506,19.96842,20.05856,-6.043371e-06,-0.2004509,-0.3471107,-0.2717247,-0.1084595,STAR
1237655499736219659,199.08868,-1.754371,16.77525,15.68782,15.75442,15.82979,15.84647,-0.0006768545,1.085317,-0.08252335,-0.06047249,-0.04687023,STAR
1237655499736285400,199.23523,-1.6492002,19.405,18.35653,18.26968,18.28404,18.3099,-0.0005599238,1.040182,0.07837296,-0.008152008,-0.04133987,STAR
1237655499199348806,199.15395,-2.0852001,18.25063,17.3736,17.06674,16.9803,16.96116,0.0002854905,0.8863087,0.3069534,0.09528542,0.007406235,STAR
1237655499199348996,199.1543,-2.0189649,19.2729,18.32522,18.02504,17.90682,17.84046,0.0002372705,0.976757,0.31394,0.1112576,0.07162666,STAR
1237655500273090735,199.15497,-1.2754203,20.15768,18.89877,18.60942,18.54569,18.48744,-3.571808e-05,1.27706,0.2789631,0.06169319,0.06059265,STAR
1237655495977730213,199.30579,-1.4744381,19.28225,18.34588,18.00636,17.87251,17.8188,-0.0001732196,0.9554367,0.3141422,0.1334438,0.05898857,STAR
1237655495977599040,198.98825,-1.5237629,18.499,18.1389,18.38363,18.59751,18.68678,3.091188e-05,0.3767071,-0.241785,-0.2104187,-0.1046295,STAR
1237655500273025261,199.01933,-1.307039,24.43684,20.54225,19.44965,19.01859,18.77166,-9.924072e-05,3.83058,1.092239,0.42659,0.2562637,STAR
1237655499199545407,199.60528,-2.1665153,17.9001,16.96757,16.67286,16.5832,16.53113,-1.224824e-05,0.9615269,0.2751484,0.08894539,0.02466011,STAR
1237655499736285305,199.30862,-1.6615102,18.3975,17.18584,16.77132,16.59946,16.55095,6.245427e-05,1.194986,0.3952694,0.2091255,0.0109024,STAR
1237655498126459055,201.08672,-2.8438601,18.99629,17.87089,17.90611,18.01689,18.17732,0.0007093318,1.126818,-0.03998184,-0.1147976,-0.1548138,STAR
1237655494904840974,201.23459,-2.3265398,25.1297,23.75391,21.74758,19.29081,17.89622,-6.314975e-05,1.43078,2.136467,2.476269,1.393276,STAR
1237655498126327909,200.80269,-2.9155729,18.24394,17.90735,17.29411,16.26345,15.64518,-6.170836e-06,0.3519096,0.587162,1.021107,0.621664,STAR
1237655498126393374,200.95857,-2.9937054,22.35074,21.11813,24.64932,24.24923,19.63919,-0.000163527,1.83025,-2.887669,-0.3421936,4.687864,STAR
1237655498663264452,200.93114,-2.510842,18.97837,18.11242,17.72222,17.61289,17.54372,5.68212e-06,0.8595047,0.3853626,0.1159687,0.0554142,STAR
1237655494367903777,201.01216,-2.6439488,18.76223,17.38513,16.86059,16.66061,16.58121,0.0001950304,1.425846,0.5235519,0.2347469,0.0585804,STAR
1237655497589457174,200.78879,-3.3942831,23.63335,21.98717,20.67099,18.81494,17.73835,-7.845944e-05,2.071873,1.208023,1.695704,1.077038,STAR
1237655497589457076,200.86612,-3.3557755,20.93343,18.45252,17.20621,16.62067,16.31244,-2.051336e-05,2.598051,1.321436,0.5767746,0.3623047,STAR
1237655498126327818,200.75923,-2.9757892,21.18711,18.36798,17.02509,16.42513,16.10529,5.129781e-05,2.868921,1.336912,0.6119957,0.311573,STAR
1237655498663133446,200.69501,-2.5854346,18.99442,16.37163,15.70874,15.64466,15.31839,-0.0001022003,2.651213,0.6680803,-0.03366184,0.4146891,STAR
1237655493293834319,200.33543,-3.5484065,21.14342,19.39394,18.1103,16.76459,15.98645,-0.0003464867,1.74946,1.287745,1.362707,0.7618418,STAR
1237650760788869210,200.36785,-3.2285304,19.04861,17.90418,17.94368,18.00904,18.10661,-0.0002698195,1.184889,-0.04348755,-0.08083153,-0.1056404,STAR
1237650760789000200,200.65477,-3.0623976,17.23787,16.25816,16.14631,16.16759,16.22908,0.0002282505,1.000578,0.0705986,-0.0186367,-0.05197716,STAR
1237650760788934682,200.5148,-3.0964361,18.82484,17.84675,17.79807,17.87021,17.91724,0.0003914465,0.9998837,0.03186417,-0.0646286,-0.05369568,STAR
1237650760788935611,200.50389,-3.075227,26.06405,23.90079,23.02549,20.99194,19.4329,-7.515532e-05,2.334553,0.870739,2.012913,1.57435,STAR
1237655498663067975,200.48953,-2.5332238,22.77947,21.29683,19.91591,18.91498,18.42199,-5.250405e-05,1.535812,1.383244,1.004093,0.5087318,STAR
1237655494367641619,200.4216,-2.6304652,17.88399,16.74582,16.69785,16.75603,16.79889,0.0003327847,1.177946,0.01098824,-0.06815338,-0.03205681,STAR
1237655498126066074,200.16657,-2.99792,21.81434,20.55547,19.8978,19.71975,19.53976,-7.264798e-05,1.307838,0.6448135,0.1889572,0.1765366,STAR
1237655498126065882,200.29597,-2.9100552,19.40553,17.83525,17.33134,17.14703,16.97952,2.382939e-05,1.591923,0.5834713,0.2087307,0.1149273,STAR
1237655498126131431,200.32187,-3.0332788,19.22152,18.08464,18.07732,18.13089,18.18482,0.0003345798,1.152224,-0.01779175,-0.05058479,-0.04348564,STAR
1237655498662936652,200.25051,-2.4771864,17.92808,16.71536,16.8272,16.93407,16.98794,-3.343634e-05,1.218407,-0.09833145,-0.1162739,-0.04642105,STAR
1237655497589063810,199.99863,-3.3778328,17.16274,16.16921,15.81389,15.73318,15.70786,-2.032409e-05,1.018772,0.3228254,0.09964657,0.01276207,STAR
1237655494367445999,200.02253,-2.6890635,23.0937,25.16201,24.14853,20.61953,19.02917,-6.966905e-05,-1.93261,0.9127522,3.657383,1.5744,STAR
1237655493293506609,199.53083,-3.5902306,17.19626,16.13278,15.79152,15.67937,15.67881,0.0001057626,1.071722,0.3188992,0.1097202,0.01766014,STAR
1237655497588867171,199.54447,-3.3922788,18.25724,17.15952,16.94411,16.87578,16.90192,0.000833981,1.167261,0.197401,0.06126213,-0.01787186,STAR
1237655493293506658,199.609,-3.5413631,17.9169,16.40734,15.74009,15.6208,15.78679,-5.190978e-06,1.499052,0.7179375,0.1292591,-0.2014971,STAR
1237655497589063786,199.9479,-3.3979243,18.58438,17.53371,17.12653,17.0473,16.98778,-3.180362e-05,1.079136,0.3811569,0.1070747,0.05064011,STAR
1237655498662740024,199.78053,-2.5684535,18.56125,18.41315,18.61215,18.79031,19.07159,-2.861559e-05,0.1434422,-0.2033539,-0.1853504,-0.2800388,STAR
1237655498125869066,199.75991,-3.0190087,18.81386,17.52451,17.7113,17.88045,17.92365,6.529663e-06,1.280909,-0.1939087,-0.1645374,-0.05934906,STAR
1237655498662740038,199.8048,-2.5792871,19.58926,18.05133,17.96086,17.08179,16.71428,-9.391746e-05,1.44858,-0.04928398,0.7261877,0.4108582,STAR
1237655494367313949,199.73299,-2.7594728,21.56288,19.07353,17.8187,17.22075,16.85857,-6.97014e-05,2.524977,1.247602,0.5950565,0.3599472,STAR
1237655494367379615,199.82947,-2.6896353,20.21566,19.03471,19.07783,19.19993,19.3378,0.0001565113,1.192671,-0.04825783,-0.1278191,-0.1262913,STAR
1237655498662674445,199.58895,-2.4406932,17.42827,16.38239,15.97136,15.86306,15.78319,7.715505e-05,1.048668,0.3873577,0.1271009,0.05505753,STAR
1237655493293375701,199.2823,-3.5585975,20.21391,18.28484,17.53791,17.24928,17.08525,0.000175825,1.967655,0.7513123,0.2908859,0.1687508,STAR
