,objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class
0,1237663783131218107,17.248432,-0.79711862,21.42727,19.90164,19.43197,19.11375,18.58033,0.07012043,1.750055,0.6897316,0.3718834,0.2762756,GALAXY
1,1237678619567456496,4.893126,3.08062,22.26391,20.24837,18.86897,18.37562,17.88331,0.2618902,1.931644,1.464487,0.5241013,0.3530769,GALAXY
2,1237656496174465529,329.60347,12.778041,20.29658,19.84159,18.9717,18.81909,18.79221,-0.001165055,0.4468403,0.8687859,0.1584454,0.01785469,STAR
3,1237648702984290760,224.05288,-1.1645591,20.30576,20.0668,20.15494,20.2831,20.48745,0.0003287904,0.2986736,-0.1149654,-0.123354,-0.2452335,STAR
4,1237678619567456585,4.89883600000002,3.127932,23.19452,21.11645,19.70312,19.14991,18.73902,0.2660514,2.20365,1.469276,0.5578156,0.3209858,GALAXY
5,1237663204922163341,18.299379,0.69654528,20.00638,18.47954,17.71013,17.38491,17.01686,0.08451727,1.508228,0.772068,0.3943024,0.310626,GALAXY
6,1237669516904301555,358.39065,6.7047123,24.23916,24.35728,22.6786,21.51884,20.64809,0.938404,1.045904,1.920147,1.056759,0.7880001,GALAXY
7,1237672765523886415,357.24599,4.8023578,21.66119,21.81408,21.41562,21.66727,22.3047,0.2514969,-0.02099419,0.3969326,-0.2514076,-0.68466,GALAXY
8,1237663784741699688,16.957288,0.61164219,20.90216,19.57098,19.28627,19.14196,18.81875,0.05389864,1.225943,0.3803501,0.2377396,0.07754898,GALAXY
9,1237651271884472661,123.12639,47.26646,21.60849,20.47113,20.24112,20.04888,19.86018,9.801324e-05,1.157391,0.2436867,0.191164,0.1708145,STAR
10,1237658205579247760,163.83917,48.702452,21.63614,19.02998,18.00433,17.69078,17.50257,-4.593592e-06,2.578062,1.065893,0.3923721,0.2145805,STAR
11,1237657772324356102,163.09886,56.812727,22.27229,20.91229,19.90677,18.34729,17.95081,0.0001555671,1.356804,0.9990921,1.587532,0.3569279,STAR
12,1237657221485625515,159.33233,54.963416,20.10453,19.07361,18.75878,18.58606,18.54029,0.0003305959,1.040848,0.3156948,0.1696987,0.03641129,STAR
13,1237646795989058131,118.94944,-0.80442653,18.97442,17.06542,16.41209,16.1871,16.08226,3.937131e-05,1.897266,0.6698093,0.216341,0.1013165,STAR
14,1237657591389290694,155.13005,51.854308,21.92871,19.566,18.2745,17.66294,17.73514,-1.641622e-05,2.405434,1.283043,0.6109905,-0.01796532,STAR
15,1237678600218608080,329.74277,13.474021,20.39476,17.9903,16.9374,16.55174,16.32656,3.893155e-05,2.402594,1.057924,0.3794956,0.2453442,STAR
16,1237678617433145373,35.055716,1.0783091,17.396,15.93086,15.41207,15.20858,15.15159,0.0001374999,1.467784,0.5177488,0.1819582,0.06295109,STAR
17,1237666340800364612,18.306087,1.1087635,21.18649,19.44272,18.30087,17.82642,17.43983,0.1333653,1.913206,1.092592,0.4308128,0.3761711,GALAXY
18,1237678660352475468,5.00819300000001,3.887135,23.94651,21.71872,20.37546,19.88484,19.49635,0.2693253,1.942163,1.464359,0.5145016,0.3284683,GALAXY
19,1237655692477858234,223.83732,-1.8134241,20.55158,20.23265,20.2957,20.35158,20.52199,0.004033096,0.3623276,-0.06297684,-0.0664196,-0.1979656,STAR
20,1237654382512570506,131.84127,49.042223,18.48302,17.5822,17.27764,17.13511,17.13743,6.046373e-05,0.929285,0.2961216,0.1278839,0.01987457,STAR
21,1237669679576580968,358.42204,6.6112371,22.74536,25.35802,22.80735,21.43314,20.58302,0.8170848,-3.067513,3.648216,1.210886,0.9096622,GALAXY
22,1237666338652422260,17.256238,-0.62213742,21.00485,19.36547,18.34646,17.97054,17.54985,0.1244752,1.782232,1.028042,0.4126377,0.3475361,GALAXY
23,1237667430083265627,117.45264,11.107086,22.9698,20.87794,20.26966,19.7444,19.55811,0.0002213571,1.944366,0.7768421,0.4087296,0.1964111,STAR
24,1237657590851371089,151.84899,50.4369,21.03943,18.55198,17.28543,16.15111,15.50059,-6.336266e-05,2.522287,1.348246,1.137875,0.6384211,STAR
