u,g,r,i,z,class,redshift,redshift_err
19.33694,17.59534,16.63528,16.19125,15.84542,GALAXY,0.09670553,2.392488e-05
19.43977,19.17807,19.05609,18.99775,18.92046,QSO,0.8149884,0.0001784195
19.02051,17.39241,16.69502,16.31255,16.01114,GALAXY,0.05312923,1.489363e-05
18.76273,16.51796,15.53737,15.03555,14.68297,GALAXY,0.05480747,1.495871e-05
19.10662,17.66613,16.88436,16.45688,16.17625,GALAXY,0.08634089,1.127885e-05
17.42863,15.47299,14.45769,13.99928,13.70702,GALAXY,0.06025843,1.775672e-05
18.91922,17.51127,16.90996,16.67451,16.57579,GALAXY,0.0,0.0
19.435,18.00339,17.39048,16.99968,16.74969,GALAXY,0.08903934,1.058724e-05
19.0994,17.14893,16.22522,15.82498,15.52411,GALAXY,0.08626787,1.545329e-05
19.142,17.52648,16.88887,16.57338,16.37893,GALAXY,0.05999198,1.26271e-05
17.07992,15.07615,14.18561,13.76089,13.45721,GALAXY,0.04122897,8.772759e-06
18.42163,17.18624,16.58782,16.22136,15.93753,GALAXY,0.05396743,7.386721e-06
18.30508,17.05918,16.64143,16.34132,16.20619,GALAXY,0.04310374,6.70922e-06
19.41404,17.53802,16.62139,16.17899,15.84609,GALAXY,0.06027056,1.47407e-05
18.99547,17.12826,16.28964,15.92426,15.62906,GALAXY,0.05818036,1.096786e-05
18.11281,16.76306,16.23725,15.94615,15.82835,GALAXY,0.05759979,1.527706e-05
19.48933,17.65847,16.8293,16.41841,16.11208,GALAXY,0.0581429,1.329424e-05
17.92329,18.01785,18.34235,18.59037,18.86866,QSO,2.527186,0.0005813763
19.07717,17.82086,17.16419,16.70522,16.50928,GALAXY,0.07849696,4.463368e-06
19.57053,19.38072,19.39334,19.14265,19.08238,QSO,1.765912,0.0005286599
18.52779,17.28662,16.76545,16.44593,16.23085,GALAXY,0.04790556,9.230027e-06
19.30256,18.15044,17.45684,17.09115,16.86731,GALAXY,0.1541776,1.526498e-05
19.24407,17.34239,16.44147,16.02765,15.68198,GALAXY,0.07922667,1.437945e-05
19.48196,18.04786,17.3687,16.97041,16.69775,GALAXY,0.10746,1.509596e-05
19.35159,17.34212,16.31598,15.84459,15.55024,GALAXY,0.1074681,2.423669e-05
19.48262,18.03444,17.29516,16.94725,16.67472,GALAXY,0.1308426,2.014234e-05
19.34267,18.91662,18.53585,18.5088,18.23058,QSO,0.7795973,0.000106735
19.46408,19.3891,19.10488,19.02123,18.89368,QSO,1.13362,0.000466829
16.77949,15.48024,14.75331,14.37327,14.07626,QSO,0.03892251,4.161864e-05
18.45617,17.43879,17.03027,16.81384,16.65363,GALAXY,0.02275037,6.186082e-06
18.8997,17.94699,17.49941,17.179,17.01293,GALAXY,0.06531028,1.341655e-05
19.23189,18.99866,18.84496,18.87357,18.69373,QSO,0.9174071,9.928579e-05
16.96583,15.94446,15.56715,15.27977,15.11405,GALAXY,0.04425616,7.44737e-06
